Codes,Names,Borough,health,population per square kilometre,life expectancy,travel by bicycle,area of greenspace,unemployment rate,"homes with access to open space, nature, and greenspace",crime rate,deliberate fires,subjective well-being average score
E05000199,Enfield Lock,Enfield,0.82,5642.26,79.1,1.7,1318.56,10.63,0.85,74.89,0.846198514,7.204568524
E05000200,Grange,Enfield,0.86,4194.16,85.62,1.2,898.91,3.39,0.39,77.97,0.391624701,7.204568524
E05000201,Haselbury,Enfield,0.8,9714.52,81.41,1.1,453.18,10.53,0.92,87.64,0.918125499,7.420989432
E05000202,Highlands,Enfield,0.79,2741.75,84.6,1.2,2932.38,3.03,0.69,43.72,0.688827079,7.359744244
E05000203,Jubilee,Enfield,0.8,3824.4,80.19,1,1280.95,9.07,1.18,72.43,1.178846278,7.420989432
E05000204,Lower Edmonton,Enfield,0.8,8067.13,79.91,1.2,411.81,11.13,0.96,79.45,0.963456939,7.420989432
E05000205,Palmers Green,Enfield,0.84,8411.13,82.58,1.5,320.31,5.45,0.85,96.03,0.853489755,7.359744244
E05000206,Ponders End,Enfield,0.81,4839.77,79.84,1.4,616.4,13.05,1.14,92.22,1.14388215,7.420989432
E05000207,Southbury,Enfield,0.84,5622.56,81.24,2,885.93,7.88,0.96,87.46,0.960708902,7.204568524
E05000208,Southgate,Enfield,0.83,5984.02,81.82,0.8,666.67,4.19,0.62,55.04,0.619820465,7.359744244
E05000209,Southgate Green,Enfield,0.83,5846.01,81.75,1.5,531.01,4.32,0.87,84.82,0.866408935,7.359744244
E05000210,Town,Enfield,0.84,7118.23,83.02,1.6,413.37,3.91,0.93,57.22,0.93492844,7.204568524
E05000212,Upper Edmonton,Enfield,0.8,7367.03,77.23,1.3,759.45,11.74,2.23,109.94,2.234478818,7.420989432
E05000213,Winchmore Hill,Enfield,0.86,5190.79,81.01,1.4,689.96,3.8,0.52,70.41,0.519885224,7.359744244
E05000214,Abbey Wood,Greenwich,0.82,6231.06,78.6,1,1098.65,8.72,2.41,100.03,2.410834788,7.877755047
E05000215,Blackheath Westcombe,Greenwich,0.85,6452.29,80.23,4.8,443.55,3.27,1.32,106.73,1.315515057,7.73092283
E05000216,Charlton,Greenwich,0.81,7640.12,77.12,3.1,695.06,7.28,0.55,80.84,0.554082279,7.73092283
E05000217,Coldharbour and New Eltham,Greenwich,0.81,5365.63,80.87,1.2,460.49,4.77,0.61,75.94,0.610203153,7.673856119
E05000218,Eltham North,Greenwich,0.83,5060.39,82.03,2.2,630.98,3.95,0.56,76.6,0.557086379,7.673856119
E05000219,Eltham South,Greenwich,0.83,2788.63,82.04,1.6,2415.83,4.99,0.95,95.96,0.953329908,7.673856119
E05000220,Eltham West,Greenwich,0.82,5741.96,78.77,1.5,684.71,6.07,1.44,105.67,1.437122605,7.673856119
E05000221,Glyndon,Greenwich,0.83,11430.16,76.24,1.3,332.04,10.09,3.02,79.73,3.015629623,7.877755047
E05000222,Greenwich West,Greenwich,0.86,7994.28,80.48,4.2,1036.94,5.19,0.48,130.67,0.482269836,7.73092283
E05000223,Kidbrooke with Hornfair,Greenwich,0.79,6320.02,80.73,2.8,685.1,6.87,0.91,96.95,0.905735634,7.73092283
E05000224,Middle Park and Sutcliffe,Greenwich,0.79,4151.04,80.15,2.8,1183.75,8.1,0.81,89.47,0.811506936,7.673856119
E05000225,Peninsula,Greenwich,0.9,4652.83,80.47,4.3,519.39,4.24,0.64,139.58,0.638159759,7.73092283
E05000226,Plumstead,Greenwich,0.82,7717.57,79.61,0.9,880.12,10.56,2.62,109.6,2.619359745,7.877755047
E05000227,Shooters Hill,Greenwich,0.85,3645.24,82.43,2.2,2138.31,5.72,1.93,68.74,1.928388233,7.673856119
E05000228,Thamesmead Moorings,Greenwich,0.86,4309.29,77.04,1,1621.44,9.28,2.73,92.47,2.726847272,7.877755047
E05000229,Woolwich Common,Greenwich,0.84,8087.02,78.17,2.5,1151.24,13.22,1.54,87.84,1.537250605,7.877755047
E05000230,Woolwich Riverside,Greenwich,0.81,6837.56,77.23,1.6,480.54,10.42,1.77,108,1.771679536,7.877755047
E05000231,Brownswood,Hackney,0.86,17491.08,79.96,10.8,118.73,5.85,0.36,146.89,0.359295957,7.399268582
E05000232,Cazenove,Hackney,0.86,21470.76,82.99,12.4,46.01,9.65,0.6,71.33,0.595124172,7.381373522
E05000234,Clissold,Hackney,0.84,18743.59,80.54,18.9,76.69,5.32,0.33,115.33,0.3263144,7.399268582
E05000235,Dalston,Hackney,0.86,18020.5,79.97,18.3,111.13,11.56,0.54,206.92,0.541176269,7.399268582
E05000236,De Beauvoir,Hackney,0.86,18772.78,78.59,14.1,99.52,9.03,0.8,119.55,0.803240966,7.583671763
E05000237,Hackney Central,Hackney,0.81,18655.13,78.83,16.9,100.23,10.82,0.56,124.52,0.555759089,7.485612846
E05000238,Hackney Downs,Hackney,0.81,13738.7,79.08,17.7,266.28,11.22,0.23,108.78,0.231306678,7.381373522
E05000239,Haggerston,Hackney,0.81,13956.56,79.03,11.9,259.61,10.38,1.43,135.33,1.433023395,7.583671763
E05000240,Hoxton,Hackney,0.83,21407.63,79.28,10.4,196.73,9.1,0.85,86.83,0.853505485,7.583671763
E05000241,King's Park,Hackney,0.8,6869.35,80.96,13.4,1070.06,13.28,0.54,84.42,0.538603999,7.485612846
